Table 1
time;min_temp;max_temp;ID
6:11;14.3;20.7;20240622_0224
6:15;14.2;20.6;20240622_0225
6:17;15.0;21.5;20240622_0226
6:19;14.9;21.3;20240622_0227
6:21;15.4;21.8;20240622_0228
6:23;15.6;22.0;20240622_0229
6:26;15.4;21.8;20240622_0230
6:28;15.5;21.9;20240622_0231
6:30;15.8;22.2;20240622_0232
6:32;15.7;21.1;20240622_0233
6:34;16.0;22.4;20240622_0234
6:36;16.0;22.4;20240622_0235
6:38;16.2;22.6;20240622_0236
6:40;16.7;23.0;20240622_0237
6:42;16.7;23.0;20240622_0238
6:44;16.2;22.5;20240622_0239
6:46;16.5;22.8;20240622_0240
6:48;16.5;22.8;20240622_0241
6:50;16.7;23.0;20240622_0242
6:52;16.5;22.8;20240622_0243
6:54;16.6;23.6;20240622_0244
6:56;16.7;23.0;20240622_0245
6:58;16.7;22.9;20240622_0246
7:00;16.9;23.2;20240622_0247
7:02;17.1;23.4;20240622_0248
7:04;17.0;23.3;20240622_0249
7:06;17.5;23.7;20240622_0250
7:08;17.5;23.7;20240622_0251
7:10;17.7;23.9;20240622_0252
7:12;18.2;24.4;20240622_0253
7:14;18.3;24.5;20240622_0254
7:16;18.7;24.8;20240622_0255
7:18;18.7;24.8;20240622_0256
7:20;18.5;24.5;20240622_0257
7:22;18.2;24.3;20240622_0258
7:24;18.2;24.2;20240622_0259
7:26;18.7;24.7;20240622_0260
7:28;18.6;24.6;20240622_0261
7:30;19.0;25.0;20240622_0262
7:32;18.3;24.3;20240622_0263
7:34;19.0;24.9;20240622_0264
7:36;19.2;25.2;20240622_0265
7:38;19.4;25.3;20240622_0266
7:40;19.5;25.5;20240622_0267
7:42;19.4;25.3;20240622_0268
7:44;19.7;25.5;20240622_0269
7:46;20.0;25.8;20240622_0270
7:48;20.1;25.9;20240622_0271
7:50;20.1;25.9;20240622_0272
7:52;20.2;25.9;20240622_0273
7:54;20.7;26.4;20240622_0274
7:56;20.6;26.4;20240622_0275
7:58;20.6;26.3;20240622_0276
8:00;20.6;26.3;20240622_0277
8:02;20.6;26.3;20240622_0278
8:04;20.2;25.9;20240622_0279
8:06;20.4;26.1;20240622_0280
8:08;20.8;26.5;20240622_0281
8:10;21.1;26.7;20240622_0282
8:12;20.6;26.3;20240622_0283
8:14;20.9;26.5;20240622_0284
8:16;20.9;26.5;20240622_0285
8:18;20.8;26.3;20240622_0286
8:20;20.5;26.1;20240622_0287
8:22;21.3;26.9;20240622_0288
8:24;21.7;27.3;20240622_0289
8:26;21.6;27.2;20240622_0290
8:28;22.0;27.6;20240622_0291
8:30;22.3;27.8;20240622_0292
8:32;22.2;27.7;20240622_0293
8:34;21.4;26.9;20240622_0294
8:36;21.5;26.9;20240622_0295
8:38;20.5;25.9;20240622_0296
8:40;20.7;26.0;20240622_0297
8:42;21.0;26.3;20240622_0298
8:44;20.9;26.1;20240622_0299
8:46;21.5;26.7;20240622_0300
8:48;19.8;25.0;20240622_0301
8:50;21.0;26.1;20240622_0302
8:52;21.5;26.6;20240622_0303
8:54;20.7;25.8;20240622_0304
8:56;21.2;26.7;20240622_0305
8:58;21.2;27.1;20240622_0306
9:00;21.7;26.7;20240622_0307
9:02;22.2;27.7;20240622_0308
9:04;22.9;28.2;20240622_0309
9:06;21.7;27.6;20240622_0310
9:08;23.1;29.6;NULL
9:10;22.8;30.4;20240622_0311
9:12;21.9;29.0;20240622_0312
9:14;22.1;28.0;20240622_0313
9:16;21.7;28.2;20240622_0314
9:18;22.2;28.8;20240622_0315
9:20;21.9;29.0;20240622_0316
9:22;21.3;29.2;20240622_0317
9:24;21.5;28.9;20240622_0318
9:26;22.3;30.6;20240622_0319
9:28;22.5;31.0;20240622_0320
9:30;21.5;30.1;20240622_0321
9:32;22.1;30.4;20240622_0322
9:34;21.6;30.6;20240622_0323
9:36;22.2;31.1;20240622_0324
9:38;22.6;32.2;20240622_0325
9:40;22.9;34.0;20240622_0326
9:42;23.0;34.8;20240622_0327
9:44;22.3;34.2;20240622_0328
9:46;24.0;36.9;20240622_0329
9:48;24.4;37.8;20240622_0330
9:50;23.9;37.7;20240622_0331
9:52;23.4;37.5;20240622_0332
9:54;23.3;38.0;20240622_0333
9:56;23.9;40.8;20240622_0334
9:58;24.5;41.1;20240622_0335
10:00;24.4;41.3;20240622_0336
10:02;24.2;41.7;20240622_0337
10:05;24.5;42.6;20240622_0338
10:10;24.4;43.8;20240622_0339
10:15;24.7;45.5;20240622_0340
10:20;25.2;47.6;20240622_0341
10:25;25.4;49.1;20240622_0342
10:30;26.0;51.0;20240622_0343
10:35;25.5;51.0;20240622_0344
10:40;25.6;52.6;20240622_0345
10:45;26.8;54.4;20240622_0346
10:50;26.6;55.7;20240622_0347
10:55;27.5;57.6;20240622_0348
11:00;28.1;59.3;20240622_0349
11:30;28.6;63.0;20240622_0350
12:00;29.2;69.3;20240622_0351
12:30;31.2;74.1;20240622_0352
13:00;39.7;77.9;20240622_0353
13:30;37.5;76.1;20240622_0354
14:00;38.3;76.9;20240622_0355
14:05;42.2;79.9;20240622_0356
14:30;41.1;79.0;20240622_0357
15:00;41.5;78.6;20240622_0358
15:30;40.9;77.9;20240622_0359
16:00;41.7;76.8;20240622_0360
17:00;37.0;70.3;20240622_0361
18:00;34.9;56.6;20240622_0362
19:00;32.1;42.9;20240622_0363
20:00;28.9;36.9;20240622_0364
21:05;26.3;32.5;20240622_0365
21:10;25.4;31.6;20240622_0366
21:20;25.5;31.8;20240622_0367
21:30;24.5;31.0;20240622_0368
21:40;24.8;30.9;NULL
6:42;14.5;21.1;20240623_0369
6:44;14.8;21.3;20240623_0370
6:46;14.6;21.1;20240623_0371
6:48;15.1;21.5;20240623_0372
6:50;15.6;22.0;20240623_0373
6:52;15.8;22.1;20240623_0374
6:54;16.1;22.4;20240623_0375
6:56;16.8;23.1;20240623_0376
6:58;16.5;22.7;20240623_0377
7:00;16.5;22.8;20240623_0378
7:02;17.0;23.2;20240623_0379
7:04;17.3;23.5;20240623_0380
7:06;17.7;23.8;20240623_0381
7:08;17.8;24.0;20240623_0382
7:10;17.4;23.5;20240623_0383
7:12;17.6;23.7;20240623_0384
7:14;17.5;23.6;20240623_0385
7:16;17.8;23.8;20240623_0386
7:18;18.5;24.5;20240623_0387
7:20;18.0;24.0;20240623_0388
7:22;18.4;24.4;20240623_0389
7:24;18.4;24.3;20240623_0390
7:26;18.5;24.4;20240623_0391
7:28;18.6;24.5;20240623_0392
7:30;18.5;24.4;20240623_0393
7:32;18.8;24.7;20240623_0394
7:34;18.8;24.7;20240623_0395
7:36;19.3;25.0;20240623_0396
7:38;19.5;25.3;20240623_0397
7:40;19.0;24.8;20240623_0398
7:42;18.9;24.7;20240623_0399
7:44;19.3;25.1;20240623_0400
7:46;19.0;24.8;20240623_0401
7:48;19.6;25.4;20240623_0402
7:50;19.7;25.5;20240623_0403
7:52;19.1;24.8;20240623_0404
7:54;19.7;25.4;20240623_0405
7:56;19.9;25.6;NULL
7:58;20.1;25.7;20240623_0406
8:00;20.1;25.7;20240623_0407
8:10;20.5;26.4;20240623_0408
8:20;20.4;26.5;20240623_0409
8:30;21.1;27.1;20240623_0410
8:40;20.0;26.1;20240623_0411
8:50;21.1;27.2;20240623_0412
9:00;20.4;27.8;20240623_0413
10:00;21.5;41.6;20240623_0414
11:00;24.3;58.1;20240623_0415
12:00;27.5;68.6;20240623_0416
13:00;39.9;77.1;20240623_0417
13:01;29.3;79.8;20240623_0418
13:03;30.1;80.2;20240623_0419
13:04;37.3;78.5;20240623_0420
13:05;29.2;78.9;20240623_0421
13:07;29.0;78.4;20240623_0422
